,notification_id,variant,formatted_position,isInterested,formatted_duration
0,notification1,simpleNoti,bottom - left,False,0.005
1,notification2,expandableNoti,bottom - center,False,0.001
2,notification3,simpleNoti,bottom - right,True,0.003
3,notification4,expandableNoti,bottom - left,True,0.0
4,notification5,simpleNoti,bottom - center,True,0.004
5,notification6,expandableNoti,bottom - right,False,0.001
6,notification3,simpleNoti,bottom - right,True,0.003
7,notification4,expandableNoti,bottom - left,False,0.0
8,notification5,simpleNoti,bottom - center,False,0.001
9,notification6,expandableNoti,bottom - right,True,0.005
10,notification1,simpleNoti,bottom - left,True,0.004
11,notification2,expandableNoti,bottom - center,True,0.003
12,notification5,simpleNoti,bottom - center,True,0.004
13,notification6,expandableNoti,bottom - right,True,0.006
14,notification1,simpleNoti,bottom - left,True,0.001
15,notification2,expandableNoti,bottom - center,False,0.001
16,notification3,simpleNoti,bottom - right,True,0.002
17,notification4,expandableNoti,bottom - left,False,0.0
18,notification3,simpleNoti,bottom - right,False,0.003
19,notification4,expandableNoti,bottom - left,False,0.001
20,notification5,simpleNoti,bottom - center,True,0.001
21,notification6,expandableNoti,bottom - right,False,0.0
22,notification1,simpleNoti,bottom - left,True,0.002
23,notification2,expandableNoti,bottom - center,False,0.002
24,notification5,simpleNoti,bottom - center,False,0.0
25,notification6,expandableNoti,bottom - right,True,0.005
26,notification1,simpleNoti,bottom - left,False,0.002
27,notification2,expandableNoti,bottom - center,False,0.0
28,notification3,simpleNoti,bottom - right,False,0.001
29,notification4,expandableNoti,bottom - left,True,0.005
30,notification1,simpleNoti,bottom - left,True,0.003
31,notification2,expandableNoti,bottom - center,False,0.001
32,notification3,simpleNoti,bottom - right,True,0.004
33,notification4,expandableNoti,bottom - left,True,0.004
34,notification5,simpleNoti,bottom - center,False,0.002
35,notification6,expandableNoti,bottom - right,True,0.006
